ID,SMILES,0.0.1uM_threshold,1.0uM_threshold,1.00uM_threshold,1.000uM_threshold
332,CCCNC(=O)c1onc(CS(=O)(=O)c2ccc(Cl)cc2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
482,CCOC(=O)C=C(C)C=CCC(C)C=CCC(C)C,1.0,1.0,1.0,1.0
565,CCC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,1.0,1.0,1.0
555,COC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
96,Cc1ccc(N(C(=N)N(C)c2ccc(C)c(C)c2)c2ccc(C)c(C)c2)cc1,0.0,0.0,0.0,0.0
351,C=C(C(=O)OC)C(O)c1ccc(C)cc1,0.0,0.0,0.0,0.0
610,CCNC(=O)OC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OCC,0.0,0.0,1.0,1.0
429,Cc1ccc(C(C)C)c(OC(=O)C(Cl)(Cl)Cl)c1,0.0,0.0,0.0,0.0
410,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,0.0,0.0,0.0,0.0
40,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,0.0,0.0,1.0,1.0
210,CC1=CC(=O)c2c(O)cccc2C1=O,0.0,0.0,0.0,1.0
509,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)NC(C)C,1.0,1.0,1.0,1.0
76,COc1c2ccoc2cc2oc(=O)ccc12,0.0,0.0,0.0,0.0
585,CCOC(=O)C=C(C)CCCCC(C)CCC=C(C)C,0.0,0.0,1.0,1.0
626,CC(C=CCC(C)CCCC(C)C)=CC(=O)OCc1ccccc1,0.0,0.0,0.0,1.0
18,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.0,1.0,1.0,1.0
545,CCOC(=O)C=C(C)C=CCC(C)CCC(O)C(C)C,0.0,1.0,1.0,1.0
255,C=CC[C@]12C[C@@]3(OCOC3=CC1=O)[C@H](C)[C@@H]2c1cc(OC)c(OC)c(OC)c1,0.0,0.0,0.0,0.0
590,COC(=O)C=C(C)CCC=C(C)CCC1OC1(C)C,0.0,0.0,1.0,1.0
497,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)C1N=N1,1.0,1.0,1.0,1.0
178,CC(=O)CCc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
317,C=CCNC(=O)c1onc(CS(=O)(=O)c2ccccc2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
265,COc1cccc(SCc2noc(C(=O)NCCC(C)C)c2C(=O)NCCC(C)C)c1,0.0,0.0,0.0,0.0
276,CCCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
581,CCC1(C)OC1CCC(C)=CCCC(C)=CC(=O)OC,0.0,1.0,1.0,1.0
471,COC(CCC(C)CC=CC(C)=CC(=O)OC(C)C)C(C)C,1.0,1.0,1.0,1.0
583,CCOC(=O)C=C(C)CCCC(C)CCC1OC1(C)C,0.0,0.0,1.0,1.0
501,CC(C=CCC(C)CCCC(C)C)=CC(=O)SC(C)C,1.0,1.0,1.0,1.0
310,COCCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
271,CCCCNC(=O)c1onc(CS(=O)(=O)c2ccccc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
71,COc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,0.0
78,O=c1ccc2ccccc2o1,0.0,0.0,0.0,0.0
491,COC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
368,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@@H](c1cccnc1)N2,0.0,0.0,0.0,0.0
438,C=CCc1ccc(OC(=O)CC)c(OC)c1,0.0,0.0,0.0,0.0
407,C=C(C)[C@@H]1CC[C@@]2(C)O[C@@H]2C1,0.0,0.0,0.0,0.0
8,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,1.0,1.0,1.0,1.0
269,COCCNC(=O)c1onc(CSc2cc(C)cc(C)c2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
552,CC(C=CCC(C)CCCC(C)C)=CC(=O)N(C)C,0.0,1.0,1.0,1.0
390,Cc1ccc(C(C)C)c(OC(=O)c2ccccc2)c1,0.0,0.0,0.0,0.0
196,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CC[C@H](O)[C@@H]2CC[C@@H](CCCCC[C@@H]3CC(CC(C)=O)C(=O)O3)O2)O1,0.0,1.0,1.0,1.0
480,C#CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
70,O=c1[nH]c(Cl)c(Cl)cc1Cl,0.0,0.0,0.0,0.0
213,CC(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C)CO[C@@H]3[C@@H](O)[C@@]4(C)C5=CC[C@@H](c6ccoc6)[C@]5(C)CC[C@@H]4[C@]1(C)[C@@H]32,0.0,0.0,0.0,1.0
91,C=C(C)[C@H]1CC(=O)[C@]2(C)O[C@@H]2C1,0.0,0.0,0.0,0.0
558,C=C(C)CCCC(C)=CCCC(C)=CC(=O)OCC,0.0,1.0,1.0,1.0
