ID,SMILES,0.0.1uM_threshold,1.0uM_threshold,1.00uM_threshold,1.000uM_threshold
336,O=C(NCc1ccccc1)c1onc(CSc2ccccc2)c1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
517,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,1.0,1.0,1.0
591,CC(C=CCC(C)CCCC(C)C)=CCOc1ccccc1,0.0,0.0,0.0,1.0
529,CC(C=CCC(C)CCCC(C)C)=CC(=O)OC(C)(C)C,0.0,1.0,1.0,1.0
502,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
518,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,1.0,1.0,1.0
525,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC(C)=O,0.0,1.0,1.0,1.0
142,O=C([O-])CCCc1nc(-c2ccc(I)cc2)no1,0.0,0.0,0.0,1.0
300,COCCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
225,CC(C)[C@@H]1CC[C@@](C)(O)[C@]2(O)[C@@H](O)C[C@@H](C)C[C@@H]12,0.0,0.0,0.0,0.0
466,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)SC,1.0,1.0,1.0,1.0
101,Cc1[nH]c2ccc(Br)cc2c1C,0.0,0.0,0.0,1.0
624,CCOC(=O)C=C(C)CCCC(C)(Cl)CCCC(C)(C)Cl,0.0,0.0,0.0,1.0
574,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
112,NC(=S)N/N=C/c1ccc(Cl)cc1,0.0,0.0,0.0,0.0
10,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,1.0,1.0,1.0,1.0
105,N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1,0.0,0.0,0.0,1.0
15,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.0,1.0,1.0,1.0
36,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0.0,0.0,1.0,1.0
628,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)O,0.0,0.0,0.0,1.0
594,C=CCNC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,0.0,1.0,1.0
329,Cc1cc(C)cc(SCc2noc(C(=O)NC(C)C)c2C(=O)NC(C)C)c1,0.0,0.0,0.0,0.0
28,C/N=C(/NCC1CCOC1)N[N+](=O)[O-],0.0,0.0,1.0,1.0
421,COc1cc(CCCO)ccc1O,0.0,0.0,0.0,0.0
585,CCOC(=O)C=C(C)CCCCC(C)CCC=C(C)C,0.0,0.0,1.0,1.0
257,C=CC[C@]12C[C@@]3(OCOC3=CC1=O)[C@H](C)[C@@H]2c1cc(OC)c2c(c1)OCO2,0.0,0.0,0.0,0.0
414,OCCC1(CCO)C[C@@H]2C=C[C@H]1C2,0.0,0.0,0.0,0.0
364,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccc(CNCc3ccc(C(F)(F)F)cc3)cc1)N2,0.0,0.0,0.0,0.0
310,COCCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
480,C#CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
171,O=C(O)CCc1cc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
154,O=C([O-])CCCc1nc(-c2ccc(Cl)cc2)no1,0.0,0.0,0.0,0.0
345,C=C(C(=O)OC)C(O)/C=C/c1ccccc1,0.0,0.0,0.0,0.0
522,CCOC(=O)C=C(C)CCCC(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
443,C=CCc1ccc(OCC)c(OC)c1,0.0,0.0,0.0,0.0
197,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.0,0.0,1.0,1.0
474,COC(C)(C)CCCC(C)CC=CC(C)=C(C)C(=O)C(C)C,1.0,1.0,1.0,1.0
400,Oc1ccccc1O,0.0,0.0,0.0,0.0
615,COC(C)(C)CCCC(C)CC=CC(C)=CCOC(C)=O,0.0,0.0,0.0,1.0
195,C=CCCCCCCCCCCCC(O)CC(O)CO,0.0,1.0,1.0,1.0
338,CCCCNC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
141,O=C(O)CCCc1nc(-c2ccc(I)cc2)no1,0.0,0.0,0.0,1.0
454,CCc1ccc(OCC=C(C)CCC2OC2(C)C)cc1,1.0,1.0,1.0,1.0
160,Cc1cccc(-c2noc(CCC(=O)O)n2)c1,0.0,0.0,0.0,0.0
347,C=C(C(=O)OC)C(O)c1ccccc1Cl,0.0,0.0,0.0,0.0
365,Fc1cc(F)c2c(c1)[C@H]1C=CC[C@H]1[C@@H](c1cccnc1)N2,0.0,0.0,0.0,0.0
441,CCC(=O)Oc1cc(C(C)C)ccc1C,0.0,0.0,0.0,0.0
407,C=C(C)[C@@H]1CC[C@@]2(C)O[C@@H]2C1,0.0,0.0,0.0,0.0
198,CCCCCCCCCC[C@@H](O)[C@H]1CC[C@@H]([C@H]2CC[C@H]([C@H](O)CCC[C@H](O)CCCCCCCC3=C[C@H](C)OC3=O)O2)O1,0.0,0.0,1.0,1.0
503,COC(C)(C)CCCC(C)CCC=CC(C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
602,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)NC1CC1,0.0,0.0,1.0,1.0
617,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,0.0,0.0,1.0
514,COC(C)(C)CCCC(C)CC=CC(C)=CC#N,0.0,1.0,1.0,1.0
490,CCOC(C)(C)CCCC(C)=CCOc1ccc(CC)cc1,1.0,1.0,1.0,1.0
537,CCC(=O)C=C(C)C=CCC(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
294,CCCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
99,[O-][n+]1cccc(CNc2nccc(Nc3ccc(-c4ccccc4)cc3)n2)c1,0.0,0.0,1.0,1.0
317,C=CCNC(=O)c1onc(CS(=O)(=O)c2ccccc2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
366,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccc1)N2,0.0,0.0,0.0,0.0
535,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC(C)=O,0.0,1.0,1.0,1.0
460,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
434,COc1cc(C=O)ccc1O,0.0,0.0,0.0,0.0
121,NC(=S)N/N=C/c1ccc([N+](=O)[O-])c(Br)c1,0.0,0.0,0.0,0.0
80,Cc1cc(Cl)ccc1/N=C/N(C)C,0.0,0.0,0.0,0.0
539,COC(C)(C)CCCC(C)CC(C)=CC(C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
139,COC(=O)CCc1cc(-c2ccccc2)no1,0.0,0.0,0.0,1.0
568,COC(C)(C)C(O)CCC(C)CC=CC(C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
547,CCOC(=O)C=C(C)C=CCC(C)CCC=C(C)C,0.0,1.0,1.0,1.0
557,CCOC(=O)C=C(C)CCCC(C)CCCC(C)(C)Cl,0.0,1.0,1.0,1.0
122,Cc1[nH]c2c(C(=O)O)cccc2c1C,0.0,0.0,0.0,0.0
93,C=C(C)C1CCC(C)CC1O,0.0,0.0,0.0,0.0
181,O=C(O)Cc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
479,CCC(=O)C=C(C)CCC=C(CC)CCC1OC1(C)CC,1.0,1.0,1.0,1.0
89,CC1=CCC2C(C1)C2(C)C,0.0,0.0,0.0,0.0
373,Fc1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1cccnc1)N2,0.0,0.0,0.0,0.0
375,N#Cc1ccc([C@@H]2Nc3c(F)cc(F)cc3[C@@H]3C=CC[C@@H]32)cc1,0.0,0.0,0.0,0.0
273,O=C(NCc1ccccc1)c1onc(CSc2ccc(F)cc2)c1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
469,CC(=CCOc1ccc2c(c1)OCO2)CCC1OC1(C)C,1.0,1.0,1.0,1.0
221,C=C(C(=O)OCC)C(O)c1ccccc1Cl,0.0,0.0,0.0,0.0
540,CC(C=CCC(C)CCCC(C)(C)C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
9,CC1(C)C(/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,1.0,1.0,1.0,1.0
609,CCOC(C)(C)CCCC(C)=CCOc1ccc(C(C)C)cc1,0.0,0.0,1.0,1.0
448,CCOC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
415,O[C@@H]1C[C@@H]2C=C[C@H]1C2,0.0,0.0,0.0,0.0
450,CC(C=CCC(C)CCCC(C)(C)OC(C)C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
65,C=C(C)[C@@H]1CC=C(C)CC1,0.0,0.0,0.0,0.0
548,CCOC(=O)C=C(C)C=CCC(C)CCC1OC1(C)C,0.0,1.0,1.0,1.0
350,C=C(C(=O)OCC)C(O)c1ccc([N+](=O)[O-])cc1,0.0,0.0,0.0,0.0
19,CC1(C)CN=C(NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,0.0,1.0,1.0,1.0
630,CCOC(=O)C=C(C)CCCC(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
3,CC(C)=CC1[C@@H](C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1.0,1.0,1.0,1.0
632,CCOC(=O)C=C(C)CCC=C(C)CCCC(C)(C)Cl,0.0,1.0,1.0,1.0
468,CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
205,CC1=C[C@@H]2[C@@H](CC1)[C@](C)(O)CC[C@H]2C(C)C,0.0,0.0,1.0,1.0
360,CC[C@H](C)C[C@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)NC(=O)/C(C)=C/[C@H](C)[C@@H](O)/C(C)=C/[C@H](C)[C@H](OC(C)=O)/C(C)=C/[C@@H]1C,0.0,0.0,0.0,0.0
600,CCOC(=O)C=C(C)CCCC(C)(C)CCCC(C)(C)C,0.0,0.0,0.0,1.0
309,CCCCNC(=O)c1onc(CSc2ccccc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
312,CCCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
268,COCCNC(=O)c1onc(CSc2ccccn2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
367,CC(=O)N1c2c(F)cc(F)cc2[C@@H]2C=CC[C@@H]2[C@@H]1c1cccnc1,0.0,0.0,0.0,0.0
493,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)O,1.0,1.0,1.0,1.0
340,CC(C)CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCC(C)C,0.0,0.0,0.0,0.0
214,CC1=CC(=O)c2c(ccc(-c3cc(O)c4c(c3C)C(=O)CCC4=O)c2O)C1=O,0.0,0.0,0.0,1.0
179,COc1ccc(-c2noc(CCCC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
327,CC(C)CCNC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NCCC(C)C,0.0,0.0,0.0,0.0
111,NC(=S)N/N=C/c1ccc(Br)cc1,0.0,0.0,0.0,0.0
520,CC(C=CCC(C)CCCC(C)C)=CC(=O)NCC(C)C,0.0,1.0,1.0,1.0
622,CCOC(C)(C)CCCC(C)=CCOc1ccc(Cl)cc1,0.0,0.0,0.0,1.0
496,CCOC(=O)C=C(C)CCC=C(C)CCC=C(C)C,1.0,1.0,1.0,1.0
12,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,0.0,1.0,1.0,1.0
625,CCOC(=O)C=C(C)C=CCCCc1ccccc1,0.0,0.0,0.0,1.0
178,CC(=O)CCc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
67,Bc1ccc(-c2ccc(C3Cc4ccccc4C(c4c(O)sc5ccccc5c4=O)C3)cc2)cc1,0.0,0.0,0.0,0.0
222,C=C(C(=O)OC)C(O)c1ccc(Cl)cc1,0.0,0.0,0.0,0.0
564,CCc1ccc(OCCC(C)CCC2OC2(C)C)cc1,0.0,1.0,1.0,1.0
346,C=C(C(=O)OC)C(O)c1cc(OC)c(OC)c(OC)c1,0.0,0.0,0.0,0.0
165,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
543,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
275,C=CCNC(=O)c1onc(CSc2ccccn2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
98,C/C(=N\NC(N)=S)C(C)Oc1ccc(Cl)c(Cl)c1,0.0,0.0,1.0,1.0
281,COCCNC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
432,Cc1ccc(C(C)C)cc1O,0.0,0.0,0.0,0.0
379,O=C(CC[N+](=O)[O-])OC[C@H]1O[C@@H](OC(=O)CC[N+](=O)[O-])[C@H](OC(=O)CC[N+](=O)[O-])[C@@H](O)[C@@H]1O,0.0,0.0,0.0,0.0
560,CCN(CC)C(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
13,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0.0,1.0,1.0,1.0
148,O=C(O)CCc1nc(-c2ccc(Cl)cc2)no1,0.0,0.0,0.0,0.0
513,CCC(=O)CC=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
516,COC(C)(C)CCCC(C)CC=CC(C)=CC(N)=O,0.0,1.0,1.0,1.0
581,CCC1(C)OC1CCC(C)=CCCC(C)=CC(=O)OC,0.0,1.0,1.0,1.0
410,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,0.0,0.0,0.0,0.0
72,C=CCc1ccc(OC)c(OC)c1,0.0,0.0,0.0,0.0
376,Fc1cc(C(F)(F)F)cc2c1NC(c1cccnc1)[C@H]1CC=C[C@@H]21,0.0,0.0,0.0,0.0
104,CN1CCC(NCc2ccc([C@@H]3Nc4c(F)cc(F)cc4[C@@H]4C=CC[C@@H]43)cc2)CC1,0.0,0.0,0.0,1.0
43,CNC(=O)Oc1cccc2ccccc12,0.0,0.0,1.0,1.0
567,CCOC(=O)C=C(C)CCCC(C)CCC=C(C)C,0.0,1.0,1.0,1.0
81,CCCCCCCCCCCCCCC,0.0,0.0,0.0,0.0
355,C=C(C(=O)OC)C(O)c1ccc(F)cc1,0.0,0.0,0.0,0.0
276,CCCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCC,0.0,0.0,0.0,0.0
456,CCC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
451,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
629,CCOC(=O)C=C(C)C=CCC(C)(C)CCCC(C)(C)C,0.0,0.0,0.0,1.0
555,COC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
107,NC(=S)N/N=C/COc1ccc(Cl)cc1,0.0,0.0,0.0,1.0
374,CCCCCCCNCc1ccc([C@@H]2Nc3c(F)cc(F)cc3[C@@H]3C=CC[C@@H]32)cc1,0.0,0.0,0.0,0.0
578,CCOC(C)(C)CCCC(C)=CCOc1ccc2c(c1)OCO2,0.0,1.0,1.0,1.0
100,c1ccc(-c2ccc(Nc3ccnc(NCc4cccnc4)n3)cc2)cc1,0.0,0.0,1.0,1.0
311,C=CCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
573,CCOC(=O)C=C(C)C1CC1CC(C)CCCC(C)C,0.0,1.0,1.0,1.0
394,O=Cc1ccccc1O,0.0,0.0,0.0,0.0
412,OCC[C@@H]1[C@H](CCO)[C@@H]2C=C[C@H]1C2,0.0,0.0,0.0,0.0
